budget,genres,homepage,id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
55000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,13,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",138.133331,1994-07-06,677945399,142,Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,7927
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",http://wwws.warnerbros.de/theprestige/,1124,en,The Prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",74.440708,2006-10-19,109676311,130,Released,Are You Watching Closely?,The Prestige,8,4391
35000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",http://www.thepianistmovie.com/,423,en,The Pianist,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,50.587541,2002-09-24,120072577,150,Released,Music was his passion. Survival was his masterpiece.,The Pianist,8,1864
31500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",http://www.apocalypsenow.com,28,en,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",49.973462,1979-08-15,89460381,153,Released,This is the end...,Apocalypse Now,8,2055
30000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,120467,en,The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protÃ©gÃ©. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",74.417456,2014-02-26,174600318,99,Released,A perfect holiday without leaving home.,The Grand Budapest Hotel,8,4519
33000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.sevenmovie.com/,807,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",79.579532,1995-09-22,327311859,127,Released,Seven deadly sins. Seven ways to die.,Se7en,8.1,5765
30000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",,311,en,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",49.336397,1984-02-16,0,229,Released,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America.",Once Upon a Time in America,8.2,1069
22000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",http://www.schindlerslist.com/,424,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,104.469351,1993-11-29,321365567,195,Released,"Whoever saves one life, saves the world entire.",Schindler's List,8.3,4329
25000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",http://www.warnerbros.com/goodfellas,769,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",63.654244,1990-09-12,46836394,145,Released,Three Decades of Life in the Mafia.,GoodFellas,8.2,3128
25000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,111,en,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",70.105981,1983-12-08,65884703,170,Released,The world is yours...,Scarface,8,2948
25000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",,278,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",136.747729,1994-09-23,28341469,142,Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8205
24000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}]",,4935,ja,ãƒ�ã‚¦ãƒ«ã�®å‹•ã��åŸŽ,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking home.",49.549984,2004-11-19,234710455,119,Released,The two lived there,Howl's Moving Castle,8.2,1991
18000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,1891,en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",78.51783,1980-05-17,538400000,124,Released,The Adventure Continues...,The Empire Strikes Back,8.2,5879
19000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,274,en,The Silence of the Lambs,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",18.174804,1991-02-01,272742922,119,Released,To enter the mind of a killer she must challenge the mind of a madman.,The Silence of the Lambs,8.1,4443
806948,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",,539,en,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fineâ€¦ until Marion decides to take a shower.",93.067866,1960-06-16,32000000,109,Released,The master of suspense moves his cameras into the icy blackness of the unexplored!,Psycho,8.2,2320
26500000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}]",,128,ja,ã‚‚ã�®ã�®ã�‘å§«,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",60.732738,1997-07-12,159375308,134,Released,The Fate Of The World Rests On The Courage Of One Warrior.,Princess Mononoke,8.2,1983
19000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",,694,en,The Shining,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",78.699993,1980-05-22,44017374,144,Released,A masterpiece of modern horror.,The Shining,8.1,3757
19000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",http://www.backtothefuture.com/movies/backtothefuture1,105,en,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",76.603233,1985-07-03,381109762,116,Released,He's the only kid ever to get into trouble before he was born.,Back to the Future,8,6079
15000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",http://movies.disney.com/spirited-away,129,ja,å�ƒã�¨å�ƒå°‹ã�®ç¥žéš ã�—,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,118.968562,2001-07-20,274925095,125,Released,The tunnel led Chihiro to a mysterious town...,Spirited Away,8.3,3840
16400000,"[{""id"": 18, ""name"": ""Drama""}]",,207,en,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",55.458584,1989-06-02,235860116,129,Released,He was their inspiration. He made their lives extraordinary.,Dead Poets Society,8.1,2705
14000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",http://theimitationgamemovie.com/,205596,en,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",145.364591,2014-11-14,233555708,113,Released,The true enigma was the man who cracked the code.,The Imitation Game,8,5723
13000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",,240,en,The Godfather: Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",105.792936,1974-12-20,47542841,200,Released,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",The Godfather: Part II,8.3,3338
6000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.roomthemovie.com,264644,en,Room,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,66.11334,2015-10-16,35401758,117,Released,Love knows no boundaries,Room,8.1,2757
11000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,126.393695,1977-05-25,775398007,121,Released,"A long time ago in a galaxy far, far away...",Star Wars,8.1,6624
20000000,"[{""id"": 18, ""name"": ""Drama""}]",http://www.historyx.com/,73,en,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",73.567232,1998-10-30,23875127,119,Released,Some Legacies Must End.,American History X,8.2,3016
8000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,680,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",121.463076,1994-10-08,213928762,154,Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,8.3,8428
6000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",http://www.thegodfather.com/,238,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",143.659698,1972-03-14,245066411,175,Released,An offer you can't refuse.,The Godfather,8.4,5893
6000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,en,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor â€“ leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",64.025031,1995-07-19,23341568,106,Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,8.1,3254
9000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.otnemem.com/,77,en,Memento,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",60.715151,2000-10-11,39723096,113,Released,Some memories are best forgotten.,Memento,8.1,4028
5000000,"[{""id"": 37, ""name"": ""Western""}]",,335,it,C'era una volta il West,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,49.333137,1968-12-21,5321508,175,Released,There were three men in her life. One to take her... one to love her... and one to kill her.,Once Upon a Time in the West,8.1,1128
3000000,"[{""id"": 18, ""name"": ""Drama""}]",,510,en,One Flew Over the Cuckoo's Nest,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",127.525581,1975-11-18,108981275,133,Released,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,8.2,2919
3300000,"[{""id"": 18, ""name"": ""Drama""}]",http://sonyclassics.com/whiplash/,244786,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",192.528841,2014-10-10,13092000,105,Released,The road to greatness can take you to the edge.,Whiplash,8.3,4254
3300000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",http://cidadededeus.globo.com/,598,pt,Cidade de Deus,"Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiroâ€™s most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, BuscapÃ©. BuscapÃ© was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes: The eyes of an artist. By accident, he becomes a professional photographer, gaining his freedom.",44.356711,2002-02-05,30641770,130,Released,"If you run you're dead... if you stay, you're dead again. Period.",City of God,8.1,1814
3180000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",,1585,en,It's a Wonderful Life,"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin.",42.868495,1946-12-20,9644124,130,Released,It's a wonderful laugh! It's a wonderful love!,It's a Wonderful Life,8,1076
3000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 28, ""name"": ""Action""}]",,670,ko,ì˜¬ë“œë³´ì�´,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",56.76349,2003-01-01,14980005,120,Released,"15 years of imprisonment, five days of vengeance",Oldboy,8,1945
1800000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10752, ""name"": ""War""}]",,935,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.",41.996783,1964-01-29,9440272,95,Released,The hot-line suspense comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,1442
1200000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",,500,en,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",66.925866,1992-09-02,14661007,99,Released,Every dog has his day.,Reservoir Dogs,8,3697
1200000,"[{""id"": 37, ""name"": ""Western""}]","http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",429,it,"Il buono, il brutto, il cattivo","While the Civil War rages between the Union and the Confederacy, three men â€“ a quiet loner, a ruthless hit man and a Mexican bandit â€“ comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",88.377076,1966-12-23,6000000,161,Released,For three men the Civil War wasn't hell. It was practice.,"The Good, the Bad and the Ugly",8.1,2311
1300000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",,103,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",58.845025,1976-02-07,28262574,114,Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,8,2535
350000,"[{""id"": 18, ""name"": ""Drama""}]",,389,en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",59.259204,1957-03-25,1000000,96,Released,Life is in their hands. Death is on their minds.,12 Angry Men,8.2,2078
